RegionID,State,City,CountyName,MeanValue
59980,VT,Rutland,Rutland County,254408.05558827202
96930,CA,Menifee,Riverside County,618572.3026105793
82479,MN,Rochester,Olmsted County,365802.04831618187
72004,FL,Lynn Haven,Bay County,319356.0535424933
88873,LA,Haughton,Bossier Parish,237954.70715812806
79419,MI,Ionia,Ionia County,187222.56801850733
75924,KY,Ashland,Boyd County,97498.93473910647
77605,OH,New Carlisle,Clark County,183600.18680115681
79069,MI,Detroit,Wayne County,74138.35364916878
75870,KY,Taylor Mill,Kenton County,195578.89893414825
92021,TX,Galveston,Galveston County,282981.7995766627
64356,PA,Johnstown,Cambria County,117092.13744077117
68600,WV,Charles Town,Jefferson County,383671.37027660356
76780,OH,Toledo,Lucas County,182036.551
99681,WA,Mukilteo,Snohomish County,939985.1654189928
77655,OH,Dayton,Montgomery County,157308.01641817205
91675,TX,Houston,Harris County,147618.03089511523
62287,NY,East Hampton,Suffolk County,1748113.2914579848
70536,SC,Darlington,Darlington County,123848.00002428556
69678,NC,Davidson,Mecklenburg County,664910.3481115826
